"Requisition Lists","Requisition Lists"
"New Requisition List","New Requisition List"
"List Name","List Name"
"My List","My List"
"Description","Description"
"Create","Create"
"My Requisition Lists","My Requisition Lists"
"Name","Name"
"Qty of Items","Qty of Items"
"Last Update","Last Update"
"Action","Action"
"Create New Requisition List","Create New Requisition List"
"Requisition List was successfully saved.","Requisition List was successfully saved."
"Something went wrong while save the Requisition List.","Something went wrong while save the Requisition List."
"Requisition List has been deleted.","Requisition List has been deleted."
"We can't delete Requisition List right now.","We can't delete Requisition List right now."
"Something went wrong while delete Requisition List.","Something went wrong while delete Requisition List."
"Edit Requisition List Name","Edit Requisition List Name"
"New Requisition List Name","New Requisition List Name"
"New Description","New Description"
"Are you sure that you want to delete this Requisition List with all items?","Are you sure that you want to delete this Requisition List with all items?"
"Requisition List has been successfully updated.","Requisition List has been successfully updated."
"We can't update Requisition List right now.","We can't update Requisition List right now."
"Something went wrong while delete Requisition List.","Something went wrong while delete Requisition List."
"Something went wrong while render Requisition List.","Something went wrong while render Requisition List."
"%1 item(s) have been updated in ""%2"" list.","%1 item(s) have been updated in ""%2"" list."
"We can't delete Item right now.","We can't delete Item right now."
"%1 item(s) have been successfully removed from ""%2"".","%1 item(s) have been successfully removed from ""%2""."
"Something went wrong while delete Item.","Something went wrong while delete Item."
"You don't have any items in list.","You don't have any items in list."
"A total of %1 product(s) have been added to your shopping cart.","A total of %1 product(s) have been added to your shopping cart."
"""%1"" list have been added to your shopping cart.","""%1"" list have been added to your shopping cart."
"Something went wrong while move items to Requisition List.","Something went wrong while move items to Requisition List."
"%1 item(s) have been successfully moved to ""<a href=""%2"">%3</a>"" list.","%1 item(s) have been successfully moved to ""<a href=""%2"">%3</a>"" list."
"%1 item has been successfully updated in ""%2"" list.","%1 item has been successfully updated in ""%2"" list."
"%1 was succesfully added to ""<a href=""%2"">%3</a>"" list.","%1 was succesfully added to ""<a href=""%2"">%3</a>"" list."
"%1 item(s) have been added to ""%2"" list.","%1 item(s) have been added to ""%2"" list."
"%1 of %2 item(s) successfully added to the cart.","%1 of %2 item(s) successfully added to the cart."
"Create New Requisition List","Create New Requisition List"
"The requested qty is not available for these products: %1.","The requested qty is not available for these products: %1."
"%1 item(s) have been successfully added to ""<a href=""%2"">%3</a>"" list.","%1 item(s) have been successfully added to ""<a href=""%2"">%3</a>"" list."